ean;sku;manufacturer;title;stock;price
4058546376543;4933479860_MIL;Milwaukee;Akumuliatorinis smūginis gręžtuvas MILWAUKEE M18 FPD3-502X;4;631.36
4058546376574;4933479863_MIL;Milwaukee;Akumuliatorinis gręžtuvas MILWAUKEE M18 FDD3-502X;4;613.29
4058546376567;4933479862_MIL;Milwaukee;Akumuliatorinis gręžtuvas MILWAUKEE M18 FDD3-0X;4;297.16
0088381791908;B-57336-2_MAK;Makita Accessories;Pjovimo diskas medienai MAKITA Efficut 165x1,45x20mm T56 23°, 2 vnt.;4;143.36
3165140888677;06019C6200_bos;Bosch;Akumuliatorinis dulkių siurblys BOSCH GAS 18V-1 Solo;4;113.12
3165140901239;0601446700_bos;Bosch;Akumuliatorinis LED prožektorius BOSCH GLI 18V-1200 C Solo;4;125.44
088381740746;SK700D_MAK;Makita;Akumuliatorinis lazerinis nivelyras MAKITA SK700D 360° CXT;4;454
4059952576534;06017D0300_bos;Bosch;Kampinis šlifuoklis BOSCH GWS 17-125 S 1700W;4;271.04
4059952576527;06017D0200_bos;Bosch;Kampinis šlifuoklis BOSCH GWS 17-125 1700W;4;258.72
3165140990219;1600A01NC9_bos;Bosch;Akumuliatorių ir įkroviklio rinkinys BOSCH GBA 12V 2,0Ah+4,0Ah+GAL 12V-40;4;137.76
4030293239685;520861_FLE;FLEX;Akumuliatorinis kampinis šlifuoklis FLEX LBE 125 18,0-EC/5,0 Set Limited Edition;4;545.19
3165140843652;0611267600_bos;Bosch;Perforatorius BOSCH GBH 2-28 F;4;367.36
4058546225063;4933464561_MIL;Milwaukee;Akumuliatorinis smūginis gręžtuvas MILWAUKEE M18 FPD2-402C;4;560
4030293242418;530231_FLE;FLEX;Akumuliatorinis smūginis veržliasukis FLEX IW 1/2quot 750Nm 18,0-EC C;4;276.76
4003773071587;9743200A_KNI;Knipex;Antgalių užspaudimo replės be matricų KNIPEX;4;144.36
4003773075066;974971_KNI;Knipex;Matrica KNIPEX MC4 kontaktams 4-6-10mm²;4;190.9
7040058056324;78389_992-43_HH;Helly Hansen workwear;Batai HELLY HANSEN Chelsea EVO 2 MID O2 HT, juodi/oranžiniai 43;4;136.9
7040058056300;78389_992-41_HH;Helly Hansen workwear;Batai HELLY HANSEN Chelsea EVO 2 MID O2 HT, juodi/oranžiniai 41;4;136.9
7040058056317;78389_992-42_HH;Helly Hansen workwear;Batai HELLY HANSEN Chelsea EVO 2 MID O2 HT, juodi/oranžiniai 42;4;136.9
7040058056355;78389_992-46_HH;Helly Hansen workwear;Batai HELLY HANSEN Chelsea EVO 2 MID O2 HT, juodi/oranžiniai 46;4;136.9
4059952576466;06017D0000_bos;Bosch;Kampinis šlifuoklis BOSCH GWS 14-125 1400W;4;208.32
4059952559766;06018G1000_bos;Bosch;Kampinis šlifuoklis BOSCH GWS 30-230 B;4;449.12
7034354801313;53000510_HiK;HiKOKI;Kompresoriaus ir smeigiakalio rinkinys HiKOKI MFT 106/OF-F50D;4;300.83
4966376400676;68010384_HiK;HiKOKI;Akumuliatorinis suktuvas HiKOKI DS18DA;4;171.24
3165140645416;0601446400_bos;Bosch;Akumuliatorinis LED prožektorius BOSCH GLI 18V-1900;4;146.72
3165140952958;1600A016GK_bos;Bosch;Akumuliatorius BOSCH GBA ProCORE 18V 8,0Ah;4;202.72
0088381760720;DBO480Z_MAK;Makita;Akumuliatorinis vibracinis šlifuoklis MAKITA DBO480Z;4;125.16
088381016254;9031_MAK;Makita;Juostinis šlifuoklis MAKITA 9031;4;328.83
4013288222176;018110_WER;Wera;19 dalių antgalių rinkinys su smūginiu atsuktuvu WERA KK 900;4;132.36
