ean;sku;manufacturer;title;stock;price
3165140952958;1600A016GK;BOSCH;BOSCH AKUMULATOR 18V 8,0Ah GBA PROCORE;150;142.73
5035048705711;DCS334N-XJ;DEWALT;DEWALT WYRZYNARKA 18V BEZ AKUMULATORÓW I ŁADOWARKI DCS334N-XJ;113;180.98
5035048711668;DCW210N-XJ;DEWALT;DEWALT SZLIFIERKA MIMOŚRODOWA 18V 125mm BEZ AKUMULATORÓW I ŁADOWARKI DCW210N;211;117.81
5035048683040;DCF897N-XJ;DEWALT;DEWALT KLUCZ UDAROWY 18V 3/4" 950Nm BEZ AKUMULATORÓW I ŁADOWARKI DCF897N;114;225.1
088381840903;DGA504RT3J;MAKITA;MAKITA SZLIFIERKA KĄTOWA 18V 125mm 3 x 5,0Ah LI-ION BEZSZCZOTKOWA WALIZKA MAKPAC DGA504RT3J;180;313.07
5035048713624;DCMPS567N-XJ;DEWALT;DEWALT PILARKA ŁAŃCUCHOWA NA WYŚIĘGNIKU 18V 20cm DŁ. 2-3m DCMPS567N;347;186.74
5035048723647;SFMEE500S-QS;STANLEY;ST SZLIFIERKA DO GIPSU 750W 225mm SFMEE500S;110;173.22
5903678603199;AW70074;AWTOOLS;AWTOOLS KOSIARKA SPALINOWA BEZ NAPĘDU 2.5kW 3.4HP DM41P;373;136.61
5903678603229;AW60160;AWTOOLS;AWTOOLS OPRYSKIWACZ SPALINOWY PLECAKOWY 3,0 KM, 16L WF3A;200;112.55
5903678608811;AW15100;AWTOOLS;AWTOOLS SZAFKA WARSZTATOWA + 177SZT. NARZĘDZI;247;373.49
5903678607579;AW70082;AWTOOLS;AWTOOLS KOSIARKA SPALINOWA Z NAPĘDEM I ROZRUCHEM ELEKTRYCZNYM 4.4kW 6,0HP 224cc DM53ES;250;308.31
5035048742693;DCF850N-XJ;DEWALT;DEWALT.ZAKRĘTARKA UDAR.18V 208Nm DCF850N;255;118.81
5035048743690;DCF921N-XJ;DEWALT;DEWALT KLUCZ UDAROWY 1/2" 18V 406Nm PIERŚCIEŃ DCF921N;432;124.58
5035048791462;DCG409VSNT-XJ;DEWALT;DEWALT SZLIFIERKA KĄTOWA 18V 125mm REG. OBR. BEZ AKU. I ŁAD. TSTAK DCG409VSNT;107;194.26
5035048791455;DCG409VSN-XJ;DEWALT;DEWALT SZLIFIERKA KĄTOWA 18V 125mm REG. OBR. DCG409VSN;111;173.96
5035048750711;DCD791P3A-QW;DEWALT;DEWALT WKRĘTARKA 18V DCD791P3A 70/27Nm 3x5,0Ah BL +KOŃCÓWKA KĄTOWY DO BITÓW;200;318.09
088381780599;DLX2339JX1;MAKITA;MAKITA ZESTAW COMBO 18V DLX2339JX1 (DDF482+DTD156) 3x5,0Ah MAKPAC;108;345.67
